RPM,deltaT
0.0,0.0
123.825,484554
6e+07,1
inf,0
956.175,62750
6e+07,1
inf,0
1145.32,52387
6e+07,1
inf,0
1189.27,50451
6e+07,1
inf,0
1203.92,49837
6e+07,1
inf,0
1207.88,49674
3e+07,2
inf,0
1207.17,49703
6e+07,1
inf,0
1209.31,49615
3e+07,2
inf,0
1208.24,49659
3e+07,2
inf,0
1209.95,49589
6e+07,1
inf,0
1206.81,49718
3e+07,2
inf,0
1208.29,49657
3e+07,2
inf,0
1206.88,49715
6e+07,1
inf,0
1207.17,49703
3e+07,2
inf,0
1207.17,49703
3e+07,2
inf,0
1205.91,49755
3e+07,2
inf,0
1208.92,49631
3e+07,2
inf,0
1205.47,49773
3e+07,2
inf,0
1208.05,49667
3e+07,2
inf,0
1208,49669
6e+07,1
inf,0
1092.98,54896
3e+07,2
inf,0
1009.63,59428
3e+07,2
inf,0
993.641,60384
3e+07,2
inf,0
988.745,60683
3e+07,2
inf,0
989.903,60612
6e+07,1
inf,0
988.81,60679
3e+07,2
inf,0
990.017,60605
3e+07,2
inf,0
975.578,61502
6e+07,1
inf,0
1004.45,59734
6e+07,1
inf,0
988.794,60680
3e+07,2
inf,0
990.017,60605
3e+07,2
inf,0
988.5,60698
6e+07,1
inf,0
987.963,60731
3e+07,2
inf,0
982.061,61096
6e+07,1
inf,0
995.454,60274
3e+07,2
inf,0
987.622,60752
6e+07,1
inf,0
989.201,60655
6e+07,1
inf,0
988.875,60675
3e+07,2
inf,0
990.083,60601
6e+07,1
inf,0
987.817,60740
6e+07,1
inf,0
988.663,60688
6e+07,1
inf,0
989.12,60660
3e+07,2
inf,0
989.054,60664
6e+07,1
1.15385e+06,52
988.24,60714
3e+07,2
inf,0
958.329,62609
3e+07,2
inf,0
1020.37,58802
6e+07,1
inf,0
988.843,60677
3e+07,2
inf,0
990.802,60557
6e+07,1
inf,0
988.68,60687
3e+07,2
inf,0
989.985,60607
3e+07,2
inf,0
988.582,60693
6e+07,1
inf,0
989.936,60610
3e+07,2
inf,0
988.386,60705
3e+07,2
inf,0
988.045,60726
6e+07,1
inf,0
989.903,60612
6e+07,1
inf,0
989.234,60653
3e+07,2
inf,0
987.232,60776
6e+07,1
inf,0
991.211,60532
6e+07,1
inf,0
989.038,60665
3e+07,2
inf,0
990.704,60563
6e+07,1
inf,0
989.544,60634
3e+07,2
inf,0
989.576,60632
3e+07,2
inf,0
989.838,60616
3e+07,2
inf,0
989.038,60665
3e+07,2
inf,0
968.57,61947
3e+07,2
inf,0
1010.05,59403
6e+07,1
inf,0
989.136,60659
6e+07,1
inf,0
988.973,60669
6e+07,1
inf,0
989.576,60632
3e+07,2
inf,0
989.071,60663
3e+07,2
inf,0
990.393,60582
6e+07,1
inf,0
989.218,60654
3e+07,2
inf,0
990.524,60574
6e+07,1
1.5e+06,40
990.655,60566
6e+07,1
inf,0
990.786,60558
3e+07,2
inf,0
988.94,60671
3e+07,2
inf,0
990.197,60594
3e+07,2
inf,0
990.72,60562
6e+07,1
inf,0
990.295,60588
6e+07,1
inf,0
990.115,60599
6e+07,1
inf,0
990.851,60554
6e+07,1
inf,0
991.49,60515
3e+07,2
inf,0
988.794,60680
3e+07,2
inf,0
990.246,60591
6e+07,1
inf,0
989.887,60613
3e+07,2
inf,0
988.517,60697
2.22222e+06,27
inf,0
992.228,60470
3e+07,2
inf,0
988.419,60703
3e+07,2
inf,0
993.032,60421
3e+07,2
inf,0
988.696,60686
6e+07,1
inf,0
993.229,60409
3e+07,2
inf,0
990.867,60553
3e+07,2
inf,0
989.299,60649
6e+07,1
inf,0
991.522,60513
3e+07,2
inf,0
987.687,60748
3e+07,2
inf,0
992.211,60471
6e+07,1
inf,0
990.017,60605
3e+07,2
inf,0
990.998,60545
3e+07,2
inf,0
990.491,60576
3e+07,2
inf,0
990.475,60577
3e+07,2
inf,0
990.737,60561
6e+07,1
inf,0
991.195,60533
3e+07,2
inf,0
991.31,60526
3e+07,2
inf,0
992.26,60468
6e+07,1
inf,0
988.794,60680
3e+07,2
inf,0
991.637,60506
6e+07,1
inf,0
987.459,60762
6e+07,1
inf,0
988.794,60680
3e+07,2
inf,0
988.989,60668
6e+07,1
inf,0
992.507,60453
6e+07,1
inf,0
990.148,60597
6e+07,1
inf,0
989.691,60625
3e+07,2
inf,0
989.332,60647
3e+07,2
inf,0
990.508,60575
3e+07,2
inf,0
989.462,60639
1.36364e+06,44
inf,0
991.932,60488
3e+07,2
inf,0
991.998,60484
6e+07,1
inf,0
989.805,60618
6e+07,1
inf,0
991.113,60538
3e+07,2
inf,0
990.377,60583
6e+07,1
inf,0
990.393,60582
6e+07,1
inf,0
992.819,60434
3e+07,2
inf,0
990.442,60579
3e+07,2
inf,0
990.328,60586
3e+07,2
inf,0
990.917,60550
3e+07,2
inf,0
989.381,60644
6e+07,1
inf,0
992.523,60452
3e+07,2
inf,0
988.012,60728
3e+07,2
inf,0
993.493,60393
3e+07,2
inf,0
992.835,60433
3e+07,2
inf,0
990.197,60594
3e+07,2
inf,0
990.851,60554
3e+07,2
inf,0
990.851,60554
6e+07,1
inf,0
989.348,60646
6e+07,1
inf,0
992.31,60465
3e+07,2
inf,0
990.377,60583
3e+07,2
inf,0
991.326,60525
6e+07,1
inf,0
993.312,60404
6e+07,1
inf,0
990.688,60564
3e+07,2
inf,0
991.686,60503
3e+07,2
inf,0
993.328,60403
3e+07,2
inf,0
990.933,60549
3e+07,2
inf,0
991.818,60495
6e+07,1
inf,0
991.932,60488
6e+07,1
inf,0
989.446,60640
6e+07,1
inf,0
992.736,60439
3e+07,2
inf,0
990.622,60568
6e+07,1
inf,0
990.377,60583
3e+07,2
inf,0
994.283,60345
6e+07,1
inf,0
991.064,60541
3e+07,2
inf,0
990.508,60575
6e+07,1
inf,0
992.901,60429
3e+07,2
inf,0
990.197,60594
3e+07,2
inf,0
991.768,60498
6e+07,1
inf,0
990.966,60547
3e+07,2
inf,0
990.36,60584
2e+07,3
inf,0
991.228,60531
3e+07,2
inf,0
990.606,60569
6e+07,1
inf,0
992.047,60481
3e+07,2
inf,0
992.326,60464
3e+07,2
inf,0

